,#,First coordinate,Place,Status,Busy-ness,Notes,Description,,Plug availablity,Bookable?,Private?,Microwave?,Projector/TV?,,Bonus: Free drinks,Bonus: Good view,Bonus: Couches
"Cells in this row are description for the Gemini Agent.
Cell contains an explanation, for you, of what the column of the cell represents.
In each column, the first row is the name, the second row is the description of the column for the Gemini Agent, and the rest is data. Row n (n > 2) is data for the study spot in the same row.",Technical. No need to display.,"Coordinates, as shown by google maps",The name of the spot.,"Show as a subjective rating. Color code it so really good is #0a53a8, pretty good is #bfe1f6, OK is #bba897, not great is #000000, not visited is #ffae00.","How busy the spot usually is. Color code it so usually isolated is #5a3286, there's some people here is #d4edbc, very popular is #b10202.",Show this as text at the very bottom of a study spot's page.,"This is the description of the study spot for the user. It should come first on the page of the study spot, before any bullet points.","Items to the right of this column are yes/y or no/n. The description contains the name of the associated icon, like plug.png, to be displayed next to a bullet point on the study spot's site. If yes, show the icon with a green tint. If no, show the icon with a red tint and a red line across it. If empty, do not show the bullet point at all.",plug.png,schedule.png,private.png,microwave.png,tv.png,"Items to the right of this column are bonuses. If these are yes/y, show them and the associated icon at the bottom of the bullet-point list with no tint. If they are no or empty, do not show the bullet point.",drinks.png,view.png,couch.png
,1,"49.2675321,-123.2526827","Art, Arch, & Music Library (IKB)",Pretty Good,There's some people here,,,,y,y,yes,no,n,,y,n,
,2,"49.265929,-123.2517095",Phys Drop In Centre (HEBB),Really Good!,There's some people here,"Clean, fantastic vibes",,,,,,,,,,,
,3,"49.265929,-123.2517095",HEBB (Upper Floor rooms),Pretty Good,Usually isolated,Often closed,,,,,,,,,,,
,4,"49.2675321,-123.2526827",IKB,Not great,Very popular,,,,,,,,,,,,
,5,"49.2675321,-123.2526827",Ridington Room (IKB),Really Good!,There's some people here,AKA Harry Potter Room.,,,,,,,,,,,
,6,"49.2639988,-123.2559045",Education Classrooms,Really Good!,Very popular,Usually packed during peak hours,,,,,,,,,,,
,7,"49.266612,-123.2500257",Nest (Upper Floors),Not great,Very popular,,,,,,,,,,,,
,8,"49.2676248,-123.2501682",LIFE,Okay...,Very popular,,,,,,,,,,,,
,9,"49.2683012,-123.2550739",Buchanan (Upper Floor),Pretty Good,There's some people here,Good if you need empty classrooms,,,,,,,,,,,
,10,"49.2638663,-123.2533686",Former education library,Really Good!,There's some people here,Nice vibes - IKB-like.,,,,,,,,,,,
,11,"49.2664763,-123.2521888",Hennings Building,Pretty Good,There's some people here,,,,,,,,,,,,
,12,"49.2664763,-123.2521888",Michael Smith Laboratories,Not great,Usually isolated,Very fancy.,,,,,,,,,,,
,13,"49.265641,-123.2542739",Networks of Centers of Excellence,Okay...,Usually isolated,Hallway tables always empty. Loud machinery.,,,,,,,,,,,
,14,"49.2644912,-123.2472591",Woodward Library,Okay...,There's some people here,"Dead silent, always has seats.",,,,,,,,,,,
,15,"49.2659553,-123.249958",Welcome Centre,Okay...,Usually isolated,Lonely cubical,,,,,,,,,,,
,16,"49.2620489,-123.2530989",CIRS (Upper Floors),Pretty Good,There's some people here,Kettles and microwaves available,,,,,,,,,,,
,17,"49.2631082,-123.2520453",Earth Sciences Building (ESB),Okay...,There's some people here,A few seats on L1 and a couch on L2. Two classes on L1 which are hit or miss (sometimes locked),,,,,,,,,,,
,18,"49.2659006,-123.2530777","Chem Resource Centre
(CHEM B357)",Not great,Usually isolated,"Permanently closed.
Rotten fr",,,,,,,,,,,
,19,,,,,, ,,,,,,,,,,
,20,"49.2624183,-123.2450666",Life Sciences Center,Really Good!,There's some people here,Extremely tall roof. Cafe + food nearby.,,,,,,,,,,,
,21,"49.2675321,-123.2526827",IKB downstairs,Pretty Good,Usually isolated,Good if you need empty classrooms,,,,,,,,,,,
,22,"49.2612672,-123.2489313",ICICS / Computer Science (CS) building,Really Good!,There's some people here,"Many private but frequently booked rooms. Labs are always open and good for locking in (I’ve never been kicked out). Allegedly, cheap chips at downstairs student lounge.",,,,,,,,,,,
,23,"49.266835,-123.2585761",Asian Library,Really Good!,Usually isolated,Second floor ⭐⭐⭐,,,,,,,,,,,
,24,"49.2697953,-123.2535896",Allard Law Library,Really Good!,There's some people here,Lower floor really pretty,,,,,,,,,,,
,25,"49.2655358,-123.2568397",X̱wi7x̱wa (Musqueam) Library,Pretty Good,Usually isolated,Cool if you wanna be alone but in a community place,,,,,,,,,,,
,26,"49.2648641,-123.2536411",Sauder (Henry Angus) glass meeting rooms,Really Good!,There's some people here,"Available in basement, main floor behind lounge, and near L4 lecture hall. All bookable, so you may get kicked out.",,,,,,,,,,,
,27,"49.2621606,-123.2492561",Engineering Student Center (ESC) meeting rooms,Not great,There's some people here,"Couches & tables, but perpetually dirty. More often free than one may guess.",,,,,,,,,,,
,28,"49.2621606,-123.2492561",Engineering Student Center (ESC),Not great,Very popular,Very dirty and loud. Usually some tables open. Upstairs is nicer.,,,,,,,,,,,
,29,"49.2672584,-123.2579673",CK Choi Meeting Rooms,Really Good!,Usually isolated,"Great soundproofing, heater present, great acoustics, TV. One on main + upper floors.",,,,,,,,,,,
,30,"49.2677801,-123.2578635",School of Journalism Reading Room,Pretty Good,Usually isolated,"No tables, but among the coziest public spots on campus.",,,,,,,,,,,
,31,"49.26781,-123.2588905",Place of Many Trees (International House),Pretty Good,Usually isolated,"Wide, open room with glass walls. Not many outlets.",,,,,,,,,,,
,32,"49.26781,-123.2588905",Common area (International House),Pretty Good,Usually isolated,Free drinks available,,,,,,,,,,,
,33,"49.26781,-123.2588905",1st/3rd floor board rooms (International House),Really Good!,Usually isolated,"Always available, but near faculty offices. Free drink coffee, hot chocolate, etc on 3rd floor.",,,,,,,,,,,
,34,"49.2634981,-123.2547751",ELI,Really Good!,Usually isolated,Many private spaces. At least one room always open.,,,,,,,,,,,
,35,,,,,,,,,,,,,,,,
,36,"49.2672584,-123.2579673",C.K. Choi Large Room,Not great,There's some people here,Large lecture hall usually not used,,,,,,,,,,,
,37,"49.2646451,-123.2445754",Cafe Ami,Really Good!,There's some people here,"Cold tables, very welcoming vibe",,,,,,,,,,,
,38,"49.2659828,-123.2561747",Geography Building Lounge,Really Good!,There's some people here,Couches and tables,,,,,,,,,,,
,39,"49.2659828,-123.2561747",Geography Classrooms,Pretty Good,There's some people here,You will sometimes find empty rooms,,,,,,,,,,,
,40,"49.2628291,-123.2543588",Swing building classrooms.,Pretty Good,There's some people here,Usually a few empty rooms.,,,,,,,,,,,
,41,"49.2643369,-123.2550329",School of Social Work,Really Good!,Usually isolated,Rooms are bookable WITHOUT 24h notice.,,,,,,,,,,,
,42,"49.2637295,-123.2549759",Mercante area,Okay...,Very popular,"Some private rooms, but always full",,,,,,,,,,,
,43,"49.2648641,-123.2536411",Sauder (Henry Angus) lounge,Pretty Good,There's some people here,"2 private rooms, but public area always has space. Decently quite.",,,,,,,,,,,
,44,"49.2657716,-123.2546239",David Lam (DLAM) labs,Pretty Good,There's some people here,"Usually some people in there, but very quite. Technically not public.",,,,,,,,,,,
,45,"49.2630507,-123.2518412","Earth, Ocean, and Atmospheric Sciences (EOAS)",Okay...,Usually isolated,"You are bound to find empty classrooms, but they are very old, cold, and rocky.",,,,,,,,,,,
,46,"49.2611383,-123.2502743",MacMillan,Pretty Good,There's some people here,"Lots of classrooms, less used than usual. Good views, old vibes. Public areas too!",,,,,,,,,,,
,47,"49.2600602,-123.2509365",Orchard classrooms,Pretty Good,There's some people here,"Lots of classrooms, plenty of space. Student-homey vibes.",,,,,,,,,,,
,48,"49.2606379,-123.2534654",University Services Building (USB),Not great,There's some people here,"No rooms, only a few one-person couches and tables.",,,,,,,,,,,
,49,"49.2590064,-123.248435",Old Barn Community Center,Really Good!,There's some people here,A few public tables that usually have space. Couches that are usually empty. Children frequent this space.,,,,,,,,,,,
,50,,Forestry Student Center (FSC),Okay...,Very popular,"Tables on higher level usually have space. Public study space often has only a few empty seats, but lots of trees! Classrooms are sometimes empty.",,,,,,,,,,,
,51,,Hugh Dempster Pavillion (DMP),Not great,Very popular,Hard to find empty classroom. Public study spots are few and far between.,,,,,,,,,,,
,52,,Brimacomb Building,Not great,Usually isolated,Downstairs has seats that are never used and dead silent. No spaces otherwise.,,,,,,,,,,,
,53,,MacLeod (MCLD),Okay...,There's some people here,"Classrooms, though frequently used, are nice after hours. Very modern. Some public spaces. 4th floor spaces less often used.",,,,,,,,,,,
,54,,Kaiser,Not great,Very popular,Only very busy (often 100% full) public space. The left door of the upstairs hall is broken (sometimes doesn’t lock).,,,,,,,,,,,
,55,,Civil and Mechanical Engineering (CEME),Not great,There's some people here,Level 1 has very busy public spots. Level 2 has slightly quieter public spots and some class/lab rooms.,,,,,,,,,,,
,56,,Engineering Design Center (EDC),Okay...,There's some people here,"Has a single private room on level 2. Public areas are nice, but pretty busy.",,,,,,,,,,,
,57,,Biology Building corner,Really Good!,There's some people here,Very fancy public area with very fancy personal lights and plugs. Quite even though it’s busy.,,,,,,,,,,,
,58,,Beaty Biodiversity Museum Cafe,Pretty Good,There's some people here,Public spot. Always has empty tables.,,,,,,,,,,,
,59,,School of Population and Public Health (SPPH),Really Good!,There's some people here,"Downstairs classrooms are vibes, super private, and NOT BOOKABLE YESSSSS. Always full though…",,,,,,,,,,,
,60,,Instructional Resource Center (IRC),Okay...,There's some people here,"Some private rooms on main floor, but usually full. The smaller lecture halls are nice. Public area is noisy but comfortable.",,,,,,,,,,,
,61,,Woodward Library,Pretty Good,There's some people here,Main floor always has space. Cozy spot behind the librarian counter. Downstairs is super vibes with the empty computer lab and silent space. Upstairs has tables and bookable rooms too.,,,,,,,,,,,
,62,,CHBE lounge,Pretty Good,There's some people here,"Among the nicest lounges at UBC. Comfy, but usually busy.",,,,,,,,,,,
,63,,CHBE,Pretty Good,There's some people here,A few classrooms. A secret meeting room is available upstairs.,,,,,,,,,,,
,64,,Pharmacy building,Pretty Good,Very popular,"Has 1st, 2nd, and 3rd floor public areas which are nice but busy. Secret classroom on floor 3. Nice lecture hall.",,,,,,,,,,,
,65,,Friedman Student Lounge,Pretty Good,Usually isolated,3rd floor. Quietest student lounge ever. Has tables and a good view of the IRC backyard.,,,,,,,,,,,
,66,,Shrum / Biomedical Engineering building,Really Good!,There's some people here,Has several floor of public spots. Non-private private rooms.,,,,,,,,,,,
,67,,Robert H. Lee Alumni Center,Pretty Good,There's some people here,"Downstairs has couches and tall tables only, but it’s nice. Nice fireplaces for chilling. Nothing upstairs.",,,,,,,,,,,